list_id,film_id,added_at
29,52,2023-12-29 12:39:31
29,54,2021-05-20 20:30:43
29,49,2021-09-07 10:02:18
29,5,2023-12-03 18:21:19
29,57,2020-03-17 21:00:47
29,13,2021-07-23 10:26:09
30,8,2021-12-10 23:46:26
30,28,2021-10-15 08:08:07
30,52,2021-04-19 01:25:15
30,38,2024-07-14 17:11:49
30,2,2022-01-28 12:32:20
30,1,2022-10-08 16:46:29
30,47,2023-04-15 15:35:53
30,31,2023-10-09 18:10:03
31,26,2021-05-02 13:15:40
31,39,2024-03-31 03:46:42
31,34,2024-08-26 20:44:29
31,44,2020-07-19 16:16:14
31,3,2022-12-22 06:59:51
31,54,2023-12-29 19:54:05
32,23,2020-01-01 06:56:03
32,13,2023-04-12 20:18:08
32,27,2023-10-04 11:05:34
32,54,2021-08-26 10:53:32
32,26,2022-11-03 03:14:12
32,31,2021-04-08 20:25:11
33,32,2020-02-28 04:33:25
33,59,2021-06-02 02:58:09
33,3,2020-07-09 03:11:43
33,34,2024-06-11 03:02:10
33,12,2024-01-21 12:27:41
33,53,2020-10-09 17:19:52
33,38,2022-03-06 13:12:50
33,22,2022-05-17 05:53:05
34,57,2024-04-29 07:58:56
34,10,2023-07-10 23:36:51
34,11,2020-03-05 04:48:52
35,30,2021-10-22 14:05:56
35,28,2023-10-24 02:13:09
35,33,2022-07-06 23:48:59
35,41,2021-02-09 07:48:14
35,17,2021-08-02 15:12:36
35,22,2021-03-07 06:42:10
35,56,2023-04-04 01:18:22
35,15,2021-12-01 00:59:20
35,6,2023-12-23 00:57:22
36,20,2021-12-10 01:21:22
36,32,2024-09-26 18:36:40
36,2,2022-03-05 11:53:50
36,1,2023-04-17 07:54:53
36,8,2024-09-27 09:51:17
36,34,2023-06-27 21:16:15
36,6,2023-02-14 12:45:35
37,7,2022-12-26 10:20:24
37,55,2020-04-24 02:29:30
37,24,2021-11-22 15:32:09
37,23,2020-08-22 23:16:44
37,26,2024-09-22 00:25:57
38,35,2021-05-15 08:37:28
38,9,2024-11-14 12:36:05
38,29,2020-08-08 14:22:10
38,44,2023-05-13 11:46:38
38,36,2022-09-19 20:00:49
38,49,2023-11-30 12:34:38
38,45,2024-02-03 21:56:39
38,59,2024-06-03 02:38:28
38,50,2021-11-09 21:45:09
39,43,2023-08-25 05:17:49
39,4,2020-08-26 07:43:08
39,17,2022-12-02 22:53:33
39,29,2020-08-23 06:35:33
39,13,2021-12-18 09:27:24
39,39,2020-07-05 19:16:48
39,12,2024-04-19 21:45:35
39,35,2023-03-11 15:01:08
40,44,2021-03-12 10:02:18
40,28,2023-01-31 04:55:43
40,21,2021-11-15 04:28:11
40,59,2023-11-07 09:20:49
40,30,2021-01-17 23:37:53
40,56,2022-08-11 08:07:34
40,5,2023-03-22 03:41:26
41,19,2020-06-15 15:14:05
41,15,2023-01-21 10:08:27
41,29,2022-10-24 14:42:00
41,22,2023-05-23 06:31:58
42,48,2024-07-10 21:49:59
42,36,2022-12-13 07:40:15
42,9,2021-05-10 04:47:57
42,43,2020-05-16 19:48:08
42,59,2023-05-15 01:53:41
42,4,2022-09-26 09:27:25
42,15,2020-12-25 05:16:50
42,29,2021-04-19 00:21:12
42,39,2020-03-31 21:42:13
42,47,2024-08-19 03:55:58
43,31,2021-01-27 02:17:08
43,11,2024-02-13 14:26:42
43,15,2023-11-06 14:15:06
44,4,2020-10-22 14:28:35
44,14,2021-05-27 00:21:15
44,49,2020-05-29 09:01:45
44,27,2024-09-30 17:02:56
44,15,2021-01-24 22:46:26
44,40,2023-11-29 12:57:07
45,57,2024-11-23 08:49:55
45,12,2020-11-04 23:39:32
45,59,2024-03-30 16:52:11
